url,titulo,texto,status,local,data_hora,problem_type,product_type,category
https://www.reclameaqui.com.br/ifood/ocorrencia-indevida-de-cancelamento-por-atraso-impactando-a-saude-da-conta_jY0MJaG1AIHkYpQN/,Ocorrência indevida de cancelamento por atraso impactando a saúde da conta,"Bom dia, apareceu uma ocorrência na minha conta dizendo que um pedido foi cancelado por conta de atraso e baixou a saúde da conta, mas eu nunca atrasei um pedido, sempre foi entregue dentro do prazo dado pelo aplicativo. Atrasos na loja ou pedidos deslocados por entregadores anteriores não são problemas meus. Gostaria que isso fosse corrigido o quanto antes por gentileza. Obrigado.",Não respondida,Porto Alegre - RS,18/10/2025 às 11:29,,,
https://www.reclameaqui.com.br/ifood/bloqueio-injusto-e-sem-explicacao-da-conta-ifood-entregador_rE2Zn2sDtKKaI1FS/,Bloqueio injusto e sem explicação da conta iFood Entregador,"Venho registrar minha profunda indignação e tristeza com o bloqueio da minha conta no iFood Entregador, feito de forma totalmente injusta e sem qualquer explicação. Nunca recebi aviso, notificação ou justificativa clara do motivo.Sempre trabalhei com responsabilidade, respeito e dedicação. Cumpro todas as entregas corretamente, faço o reconhecimento facial sempre que solicitado e trato todos com educação. Pelo contrário do que insinuam ao me bloquear, sou constantemente elogiada pelos estabelecimentos no momento da retirada e pelos clientes quando entrego o pedido.Nunca desrespeitei ninguém, nunca cometi nenhum erro que violasse as políticas do aplicativo. Sempre dei o meu melhor, mesmo enfrentando sol, chuva e cansaço, porque esse trabalho é o que me ajuda a sustentar minha casa e a pagar minhas contas.De repente, sem qualquer motivo ou explicação, tive minha conta desativada, me impedindo de trabalhar e gerando um impacto enorme na minha renda e na minha vida.Peço, por favor, que o iFood reveja com urgência essa situação. É muito injusto que uma pessoa honesta, que depende do aplicativo para viver, seja penalizada sem sequer saber o motivo. Só quero voltar a trabalhar com dignidade.Aguardo um retorno o quanto antes.",Não respondida,Rio de Janeiro - RJ,18/10/2025 às 11:34,,,
https://www.reclameaqui.com.br/ifood/falha-no-cadastro-impede-conclusao-apos-a-etapa-de-senha_retBBnYE9tcvzqbe/,Falha no cadastro impede conclusão após a etapa de senha,"Não estou conseguindo concluir o cadastro. Quanto estava fazendo o cadastro, só consegui até por a senha. depois disso apareceu uma tela relatando sobre ""falha"", tá assim desde ontem.",Não respondida,Paulista - PE,18/10/2025 às 11:46,,,
https://www.reclameaqui.com.br/ifood/hamburguer-entregue-sem-os-ingredientes-descritos-no-cardapio_fgZlY3EkvQUwo7ME/,Hambúrguer entregue sem os ingredientes descritos no cardápio.,"Não tive tempo de almoçar ontem, pedi um hambúrguer no no I Love hambúrguer artesanal, diz que vem fraldinha, com tomate, queijo, maionese e barbecue. O q eu recebi: so o pão com hambúrguer duro. Muita falta de respeito, dinheiro não é capim.  Devia ter como o cliente se proteger. Fiquei no prejuízo",Não respondida,Feira de Santana - BA,18/10/2025 às 11:48,,,
https://www.reclameaqui.com.br/ifood/dificuldade-de-acesso-e-configuracao-da-loja-no-portal-do-parceiro-ifood_0LeCrCyyADqBoW8i/,Dificuldade de acesso e configuração da loja no portal do parceiro iFood,"Bom dia,Fiz meu cadastro como parceiro do ifood como MEI CNPJ ***** a três dias atrás, mas quando faço o login no portal do parceiro recebo a seguinte mensagem:""Recebemos seu contrato assinado! Agora, aguarde enquanto atualizamos as informações do seu estabelecimento em nossas plataformas. Depois disso, você precisará configurar sua loja (como perfil, horário de funcionamento, etc.) aqui pelo Portal do Parceiro para começar a vender pelo iFood."".O não sei como esse contrato foi assinado, eu nunca nem vi o mesmo. Então acredito que algum problema tenha acontecido. Tentei contatar o ifood através do chat mas só recebo mensagems automáticas que em nada ajudam. Poderiam por favor ajudar a solucionar esse problema? Gostaria de saber o que está faltando para liberar as demais opções para realizar a configuração da loja e ativar a mesma para venda.Obrigado desde já.",Não respondida,Teresina - PI,18/10/2025 às 11:47,,,
https://www.reclameaqui.com.br/ifood/erro-no-aplicativo-ifood-indisponibilidade-devido-a-problema-com-o-periodo-de-entrega_CEH4O4p1q8INV-Xg/,Erro no aplicativo Ifood: Indisponibilidade devido a problema com o período de entrega,No meu app do Ifood só mostra que estou fora do período de entrega e por causa disso não consigo fica disponível,Não respondida,Manaus - AM,18/10/2025 às 11:49,,,
https://www.reclameaqui.com.br/ifood/pedido-errado-no-baby-burgue-nao-estornaram-o-valor-e-atendimento-ruim-do-ifood_ypbR_NusdJmoecEx/,"Pedido errado no Baby Burgue, não estornaram o valor e atendimento ruim do iFood","Pedido errado no Baby Burgue de São Caetano do Sul devolvido no local e sem reembolsoRealizei um pedido pelo iFood no Baby Burgue de São Caetano do Sul, pedindo sem maionese, mas o pedido veio errado.Tentei contato por mensagem e ligação, ninguém respondeu. Fui até o local pessoalmente, devolvi o lanche, e me informaram que o valor seria estornado.O atendente do iFood disse que eu deveria enviar uma foto do lanche, mas como teria foto se o lanche foi devolvido no local?Após eu explicar isso, simplesmente cancelaram e encerraram a conversa, sem apresentar nenhuma solução.Até o momento não houve devolução do valor, nem retorno do iFood ou do estabelecimento.Diante do péssimo atendimento e total descaso, decidi remover meu cadastro e cancelar minha conta no iFood.Falta de respeito com o cliente em todos os canais de atendimento.Peço desculpas por ter feito a escolha errada de usar o serviço do iFood e de ter confiado no Baby Burgue.",Não respondida,São Caetano do Sul - SP,18/10/2025 às 11:30,,,Restaurantes
https://www.reclameaqui.com.br/ifood/bloqueio-injusto-da-conta-de-entregador-por-atraso-devido-a-erro-de-localizacao_hmGS5wb86Usjn12A/,Bloqueio Injusto da Conta de Entregador por Atraso Devido a Erro de Localização,"Prezados,Venho por meio deste contestar o bloqueio temporário de 24 horas aplicado à minha conta de entregador.Sou entregador novo na plataforma (apenas meu segundo dia de trabalho). Fui bloqueado sob a alegação de demora na entrega de um pedido, mas suspeito que o atraso foi causado por um erro no endereço fornecido por um cliente.Detalhes da Ocorrência que suspeito ter dado problema:Pedido: Farmácia DrogaCenter.Horário Aproximado: Entre 11:48 e 12:43 do dia 17/10Problema: A localização do cliente fornecida pelo GPS no aplicativo estava incorreta e o endereço real era muito mais distante do ponto indicado.Minha Conduta: Segui rigorosamente o protocolo da plataforma:Acionei o suporte do iFood imediatamente, reportando a dificuldade de encontrar o cliente.Aguardei o tempo recomendado no local que o aplicativo indicava.Diante da impossibilidade de localizar o cliente, realizei a devolução do pedido na DrogaCenter.A demora, portanto, não foi por negligência, mas por ter seguido o procedimento padrão devido ao erro de localização do cliente.Peço gentilmente que a equipe de suporte verifique o histórico do chat e, principalmente, os dados de GPS da minha rota para o referido pedido. Seus registros internos comprovarão o tempo de espera e o erro no destino, atestando que o bloqueio é injusto.Agradeço a compreensão e solicito a reativação imediata da conta ou a garantia de que este bloqueio não afetará permanentemente minha reputação na plataforma.Atenciosamente",Não respondida,Brasília - DF,18/10/2025 às 11:36,,,
https://www.reclameaqui.com.br/ifood/conta-bloqueada-e-recebimento-de-mensagens-no-whatsapp_tuOxXUiU1TkVjKt1/,Conta bloqueada e recebimento de mensagens no WhatsApp,Minha conta ela tá bloqueada e não para de chegar mensagem no WhatsApp gostaria de desbloquear ela para mim trabalharNão sei também porque ela bloqueou não entendi nada fui trabalhar num dia no outro ela tava bloqueada,Não respondida,São Caetano do Sul - SP,18/10/2025 às 11:48,,,Aplicativos
https://www.reclameaqui.com.br/ifood/repasse-nao-creditado-e-dificuldade-de-contato-com-o-atendimento_bwdc7SNh8TgQssfC/,Repasse não creditado e dificuldade de contato com o atendimento,"Solicitei o antecipação do meu repasse ontem a tarde, 13:31 HS, e até agora não caiu na minha conta. Não estou conseguindo entrar em contato com um atendente. Solicitei o repasse porque estou precisando comprar um remédio pra me, porque eu fiquei doente.",Não respondida,Salvador - BA,18/10/2025 às 11:46,,,Financeiras
